net,length_um
r4_split\[0\].boh\[2\],0.943µm
cell_oh_flat\[50\],0.938µm
cell_oh_flat\[75\],0.938µm
ps_flat\[47\],0.938µm
xp3_s2l1\[15\].u_xp3/_05_,0.935µm
cell_oh_flat\[30\],0.933µm
_044_,0.931µm
cell_oh_flat\[83\],0.923µm
xp5_s2l2\[7\].u_xp5/_07_,0.922µm
upper\[7\],0.921µm
xp3_s2l1\[13\].u_xp3/_04_,0.92µm
_025_,0.919µm
upper\[9\],0.919µm
xp3_s2l1\[8\].u_xp3/_05_,0.917µm
xp5_s2l2\[4\].u_xp5/_00_,0.917µm
B[52],0.914µm
xp4_lo_l1\[1\].u_xp4/_05_,0.912µm
B[33],0.91µm
xp4_lo_l1\[1\].u_xp4/_01_,0.909µm
xp5_s2l2\[6\].u_xp5/_14_,0.908µm
xp5_s2l2\[0\].u_xp5/_18_,0.905µm
cell_oh_flat\[36\],0.904µm
A[37],0.902µm
B[60],0.902µm
_156_,0.9µm
xp3_hi_l1\[3\].u_xp3/_05_,0.9µm
A[55],0.898µm
B[45],0.898µm
xp3_s2l1\[11\].u_xp3/_04_,0.896µm
xp3_s2l1\[6\].u_xp3/_07_,0.896µm
ps_flat\[59\],0.892µm
cell_oh_flat\[47\],0.891µm
A[63],0.89µm
B[57],0.89µm
r4_split\[3\].boh\[1\],0.889µm
u_xp13_lo_l3/_039_,0.889µm
u_xp9_hi_l3/_013_,0.889µm
xp5_s2l2\[3\].u_xp5/_18_,0.886µm
A[36],0.882µm
A[43],0.882µm
u_xp13_lo_l3/_075_,0.881µm
cell_oh_flat\[39\],0.879µm
cell_oh_flat\[5\],0.879µm
r4_split\[3\].boh\[4\],0.879µm
A[56],0.878µm
B[0],0.878µm
B[38],0.878µm
cell_oh_flat\[73\],0.876µm
xp3_s2l1\[0\].u_xp3/_05_,0.875µm
xp5_hi_l2\[1\].u_xp5/_24_,0.875µm
A[42],0.874µm
B[55],0.874µm
A[52],0.87µm
cell_oh_flat\[41\],0.868µm
upper\[20\],0.868µm
B[39],0.866µm
B[63],0.866µm
cell_oh_flat\[43\],0.865µm
B[41],0.862µm
_126_,0.861µm
cell_oh_flat\[14\],0.861µm
cell_oh_flat\[55\],0.861µm
u_xp9_hi_l3/_004_,0.861µm
xp5_s2l2\[5\].u_xp5/_21_,0.861µm
A[33],0.854µm
B[35],0.854µm
B[36],0.854µm
B[56],0.854µm
B[58],0.854µm
hi_flat\[19\],0.854µm
xp5_hi_l2\[0\].u_xp5/_03_,0.854µm
low_sum\[3\],0.851µm
xp5_s2l2\[6\].u_xp5/_04_,0.851µm
A[35],0.85µm
cell_oh_flat\[17\],0.847µm
xp3_hi_l1\[1\].u_xp3/_04_,0.847µm
xp3_s2l1\[13\].u_xp3/_05_,0.847µm
xp3_s2l1\[14\].u_xp3/_03_,0.847µm
xp3_s2l1\[9\].u_xp3/_01_,0.847µm
A[47],0.842µm
B[61],0.842µm
upper\[13\],0.842µm
_012_,0.84µm
_067_,0.84µm
xp3_hi_l1\[2\].u_xp3/_03_,0.84µm
xp3_s2l1\[6\].u_xp3/_03_,0.837µm
A[59],0.834µm
B[42],0.834µm
_120_,0.833µm
xp3_s2l1\[5\].u_xp3/_04_,0.833µm
A[58],0.83µm
xp3_s2l1\[5\].u_xp3/_05_,0.83µm
_076_,0.829µm
xp3_s2l1\[10\].u_xp3/_03_,0.828µm
A[38],0.826µm
A[62],0.826µm
B[43],0.826µm
upper\[2\],0.823µm
r4_split\[1\].boh\[5\],0.822µm
xp3_s2l1\[4\].u_xp3/_09_,0.822µm
_040_,0.819µm
cell_oh_flat\[89\],0.819µm
xp3_s2l1\[12\].u_xp3/_03_,0.819µm
xp3_s2l1\[1\].u_xp3/_01_,0.819µm
xp5_s2l2\[5\].u_xp5/_00_,0.819µm
xp5_s2l2\[5\].u_xp5/_18_,0.819µm
_231_,0.816µm
cell_oh_flat\[57\],0.816µm
xp3_s2l1\[4\].u_xp3/_01_,0.816µm
low_sum\[2\],0.815µm
xp3_s2l1\[2\].u_xp3/_05_,0.814µm
xp7_lo_l2\[1\].u_xp7/_038_,0.814µm
r4_split\[7\].boh\[2\],0.812µm
A[41],0.81µm
A[45],0.81µm
B[47],0.81µm
B[59],0.81µm
u_xp17x7_carry/_055_,0.809µm
xp5_s2l2\[1\].u_xp5/_08_,0.809µm
xp5_s2l2\[4\].u_xp5/_11_,0.807µm
B[37],0.806µm
_082_,0.805µm
u_xp17x7_carry/_050_,0.805µm
xp7_lo_l2\[1\].u_xp7/_021_,0.805µm
xp5_s2l2\[0\].u_xp5/_03_,0.804µm
A[60],0.802µm
B[62],0.802µm
ps_flat\[16\],0.802µm
lo_flat\[17\],0.796µm
lo_flat\[13\],0.795µm
xp3_s2l1\[9\].u_xp3/_03_,0.791µm
xp7_lo_l2\[0\].u_xp7/_003_,0.79µm
r4_split\[1\].boh\[2\],0.788µm
u_xp17x7_carry/_143_,0.788µm
xp5_s2l2\[3\].u_xp5/_07_,0.784µm
cell_oh_flat\[29\],0.783µm
ps_flat\[19\],0.783µm
u_xp17x7_carry/_134_,0.783µm
xp3_s2l1\[0\].u_xp3/_04_,0.783µm
cell_oh_flat\[40\],0.781µm
u_xp17x7_carry/_085_,0.779µm
_152_,0.778µm
r4_split\[2\].boh\[5\],0.778µm
_142_,0.777µm
xp3_s2l1\[15\].u_xp3/_03_,0.777µm
xp3_s2l1\[1\].u_xp3/_05_,0.777µm
hi_flat\[16\],0.774µm
cell_oh_flat\[93\],0.77µm
xp5_hi_l2\[1\].u_xp5/_10_,0.77µm
xp5_hi_l2\[1\].u_xp5/_21_,0.769µm
xp3_s2l1\[8\].u_xp3/_04_,0.768µm
lo_flat\[10\],0.767µm
xp4_lo_l1\[0\].u_xp4/_09_,0.766µm
r4_split\[7\].boh\[4\],0.76µm
u_xp9_hi_l3/_000_,0.76µm
A[1],0.758µm
cell_oh_flat\[1\],0.756µm
r4_split\[1\].boh\[0\],0.756µm
r4_split\[5\].boh\[2\],0.752µm
cell_oh_flat\[45\],0.751µm
_198_,0.749µm
r4_split\[0\].boh\[5\],0.749µm
r4_split\[5\].boh\[3\],0.749µm
u_xp17x7_carry/_106_,0.749µm
xp3_s2l1\[2\].u_xp3/_07_,0.749µm
xp5_s2l2\[4\].u_xp5/_08_,0.749µm
xp5_s2l2\[6\].u_xp5/_03_,0.749µm
low_sum\[7\],0.748µm
B[1],0.746µm
low_sum\[5\],0.745µm
xp5_s2l2\[1\].u_xp5/_24_,0.742µm
u_xp17x7_carry/_129_,0.741µm
xp5_s2l2\[6\].u_xp5/_22_,0.741µm
xp7_lo_l2\[0\].u_xp7/_012_,0.739µm
xp7_lo_l2\[0\].u_xp7/_015_,0.739µm
xp3_s2l1\[9\].u_xp3/_09_,0.738µm
xp7_lo_l2\[1\].u_xp7/_048_,0.737µm
_136_,0.735µm
xp7_lo_l2\[0\].u_xp7/_038_,0.735µm
xp3_s2l1\[1\].u_xp3/_08_,0.734µm
